Data;BTC USD;ETH USD;LTC USD;ADA USD;XRP USD;EOS USD
2020-08-19;11828;414;63;0,13283475;0,29441;3,44925
2020-08-18;12114;427;66;0,13894675;0,30944;3,675
2020-08-17;12097;431;65;0,14034625;0,31093;3,8315
2020-08-16;11839;430;62;0,137949;0,3001;3,79075
2020-08-15;11818;435;58;0,138691;0,29945;3,49825
2020-08-14;11752;432;57;0,139038;0,29811;3,19225
2020-08-13;11600;404;55;0,13753;0,28625;3,07
2020-08-12;11436;382;54;0,1338815;0,28127;3,00375
2020-08-11;11590;387;56;0,1392265;0,28887;3,1355
2020-08-10;11790;393;58;0,1443545;0,29191;3,133
2020-08-09;11691;393;58;0,14655175;0,29096;3,0375
2020-08-08;11674;388;58;0,142588;0,29465;3,03375
2020-08-07;11651;387;58;0,140845;0,29732;3,05525
2020-08-06;11738;398;59;0,143031;0,30343;3,07175
2020-08-05;11451;395;58;0,14273325;0,30087;3,0505
2020-08-04;11215;388;58;0,1411665;0,3054;3,0425
2020-08-03;11184;380;58;0,13554075;0,30062;3,004
2020-08-02;11415;377;59;0,13819075;0,28993;3,1415
2020-08-01;11553;367;60;0,1419725;0,27591;3,198
2020-07-31;11207;341;57;0,13907825;0,25145;3,07075
2020-07-30;11057;327;56;0,13979525;0,24299;3,03175
2020-07-29;11031;318;56;0,14405625;0,23829;3,03375
2020-07-28;10947;319;55;0,14325125;0,22666;2,91775
2020-07-27;10554;317;51;0,14174075;0,21964;2,779
2020-07-26;9839;308;49;0,14685225;0,21694;2,73525
2020-07-25;9629;292;47;0,13325775;0,20993;2,6635
2020-07-24;9563;276;44;0,12283;0,20577;2,622
2020-07-23;9553;270;45;0,124418;0,20594;2,65625
2020-07-22;9430;254;44;0,12300075;0,2009;2,63225
2020-07-21;9283;241;43;0,1205815;0,19725;2,5925
2020-07-20;9182;238;42;0,120487;0,19679;2,57625
2020-07-19;9177;237;42;0,1231355;0,19932;2,53925
2020-07-18;9163;234;42;0,12197075;0,19759;2,49875
2020-07-17;9141;233;42;0,124159;0,19457;2,49775
2020-07-16;9153;235;42;0,12708725;0,19456;2,51325
2020-07-15;9223;239;44;0,13080125;0,19816;2,54525
2020-07-14;9227;240;44;0,12819425;0,19816;2,55
2020-07-13;9270;242;44;0,12729475;0,20012;2,59125
2020-07-12;9261;241;45;0,1252605;0,20104;2,6155
2020-07-11;9250;240;44;0,12214125;0,20071;2,619
2020-07-10;9241;241;44;0,11928175;0,1994;2,632
2020-07-09;9319;244;45;0,12538475;0,20429;2,6665
2020-07-08;9344;243;44;0,12519575;0,19529;2,62025
2020-07-07;9294;240;44;0,111144;0,18666;2,58025
2020-07-06;9211;235;43;0,1017585;0,18283;2,509
2020-07-05;9074;228;42;0,09816;0,17699;2,42975
2020-07-04;9108;227;42;0,09841825;0,17749;2,44525
2020-07-03;9081;226;41;0,09594125;0,17603;2,39475
2020-07-02;9134;228;41;0,09367475;0,17519;2,3565
2020-07-01;9189;228;41;0,08982375;0,17595;2,3755
2020-06-30;9149;226;41;0,08338725;0,17627;2,37
2020-06-29;9143;226;42;0,08223175;0,17711;2,3715
2020-06-28;9067;223;41;0,07876825;0,17628;2,35075
2020-06-27;9056;225;42;0,07847475;0,17763;2,3755
